"legacyId","slug","title","opportunityType","providerName","countries","regions","studyLevels","benefitSummary","eligibilitySummary","deadline.rawText","deadline.precision","deadline.dates","deadline.cycleYear","deadline.timezone","deadline.isRolling","officialUrl","source.sourceType","source.sourceReference","source.verificationStatus","source.lastCheckedAt","migrationNotes"
"11","tu-delft-excellence-scholarships","TU Delft Excellence Scholarships","scholarship","","Netherlands","","Master","Full tuition plus €1,000/month living allowance.","Excellent academic record and admission to a TU Delft Master's program.","December 1","exact","2026-12-01","2026","","false","https://www.tudelft.nl/onderwijs/toelating-en-inschrijving/masters/scholarships-and-grants","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-11","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"12","wageningen-university-scholarship","Wageningen University Scholarship","scholarship","","Netherlands","","Master","€15,000 toward tuition.","Non-EEA students admitted to a Wageningen Master's program with a strong GPA.","January 15","exact","2026-01-15","2026","","false","https://www.wur.nl/en/education/masters/scholarships.htm","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-12","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"13","utrecht-excellence-scholarship","Utrecht Excellence Scholarship","scholarship","","Netherlands","","Master","Full tuition or €10,000.","Applicants in the top 10% of their graduating class applying for a Utrecht Master's.","February 1","exact","2026-02-01","2026","","false","https://www.uu.nl/en/masters/general-information/grants-and-scholarships/utrecht-excellence-scholarships","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-13","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"14","swedish-institute-scholarships-for-global-professionals-sisgp","Swedish Institute Scholarships for Global Professionals (SISGP)","scholarship","","Sweden","","Master","Full tuition, SEK 11,000/month living allowance, travel grant, and insurance.","Non-EU/EEA applicants with at least three years of work experience applying to a Swedish Master's program.","February 10","exact","2026-02-10","2026","","false","https://si.se/en/apply/scholarships/swedish-institute-scholarships-for-global-professionals/","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-14","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"15","lund-university-global-scholarship","Lund University Global Scholarship","scholarship","","Sweden","","Master","Tuition fee waiver.","Non-EU/EEA students admitted to a full-time Lund Master's program.","February 1","exact","2026-02-01","2026","","false","https://www.lunduniversity.lu.se/study-in-lund/fees-and-funding/scholarships","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-15","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"16","stockholm-university-academic-merit-scholarship","Stockholm University Academic Merit Scholarship","scholarship","","Sweden","","Master","50% or 100% tuition waiver.","Non-EU/EEA students with an excellent academic record.","January 15","exact","2026-01-15","2026","","false","https://www.su.se/english/study/scholarships","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-16","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"17","kth-royal-institute-of-technology-scholarship","KTH Royal Institute of Technology Scholarship","scholarship","","Sweden","","Master","Tuition waiver.","Outstanding non-EU/EEA Master's applicants in technology or engineering.","January 15","exact","2026-01-15","2026","","false","https://www.kth.se/en/studies/master/general/scholarships-1.7032","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-17","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"18","norwegian-government-scholarship","Norwegian Government Scholarship","scholarship","","Norway","","Master; PhD","Living-cost stipend; the guide states no tuition at public universities.","Students from developing countries at Master's or PhD level.","Varies by institution","unknown","","","","false","https://www.siu.no/en/partnerships/scholarships-for-students-from-developing-countries","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-18","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is unknown; no deadline date was present."
"19","university-of-oslo-scholarship-eutopia","University of Oslo Scholarship (EUTOPIA)","scholarship","","Norway","","Exchange; Master","Mobility grant and stipend.","Students in EUTOPIA alliance universities pursuing exchange or a joint degree.","Program-specific","unknown","","","","false","https://www.uio.no/english/studies/admission/exchange/","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-19","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is unknown; no deadline date was present."
"20","ntnu-international-master-s-scholarships","NTNU International Master's Scholarships","scholarship","","Norway","","Master","Tuition support and living stipend, as stated in the guide.","International students admitted to NTNU; merit-based.","February 1","exact","2026-02-01","2026","","false","https://www.ntnu.edu/studies/costs-and-scholarships","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-20","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"21","eiffel-excellence-scholarship-program","Eiffel Excellence Scholarship Program","scholarship","","France","","Master; PhD","€1,181/month for Master's or €1,400/month for PhD, plus airfare and health insurance.","International students under the stated age limits; nomination by a French institution is required.","Institutional deadline: early January","estimated","2026-01-10","2026","","false","https://www.campusfrance.org/en/eiffel-scholarship-program-of-excellence","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-21","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines."
"22","ile-de-france-region-master-scholarship","Île-de-France Region Master Scholarship","scholarship","","France","","Master","Up to €10,000 for tuition and living costs.","International students enrolling in universities in the Paris region.","June–September","estimated","2026-09-30","2026","","false","https://www.iledefrance.fr/bourses-master-region","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-22","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines."
"23","universite-paris-saclay-international-master-s-scholarships","Université Paris-Saclay International Master's Scholarships","scholarship","","France","","Master","€10,000 per year.","International Master's applicants selected competitively.","February–March","estimated","2026-03-31","2026","","false","https://www.universite-paris-saclay.fr/en/education/scholarships-and-financial-aid","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-23","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines."
"24","french-government-scholarships-bgf","French Government Scholarships (BGF)","scholarship","","France","","Bachelor; Master; PhD","Monthly allowance and exemption from tuition fees.","Foreign students; administered through French embassies in the applicant's home country.","Varies by country","unknown","","","","false","https://www.campusfrance.org/en/government-scholarship","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-24","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is unknown; no deadline date was present."
"25","dtu-scholarship","DTU Scholarship","scholarship","","Denmark","","Master","Full tuition waiver plus monthly stipend.","Non-EU/EEA students admitted to a DTU Master's program with an excellent academic record.","January 15","exact","2026-01-15","2026","","false","https://www.dtu.dk/english/education/msc/scholarships","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-25","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"26","copenhagen-university-excellence-scholarships","Copenhagen University Excellence Scholarships","scholarship","","Denmark","","Master","Full tuition plus DKK 6,000/month for living costs.","Top-ranking non-EU students in STEM and social-science programs.","January 15","exact","2026-01-15","2026","","false","https://studies.ku.dk/masters/financing/scholarships/","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-26","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"27","aarhus-university-gsst-scholarship","Aarhus University GSST Scholarship","scholarship","","Denmark","","PhD","Fee waiver plus DKK 5,500–6,000/month.","PhD candidates at the Graduate School of Science and Technology.","Rolling applications","rolling","","","","true","https://phd.nat.au.dk/for-prospective-students/scholarships/","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-27","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is rolling; no fixed deadline date was present."
"28","university-of-helsinki-scholarship-programme","University of Helsinki Scholarship Programme","scholarship","","Finland","","Bachelor; Master","50% or 100% tuition waiver.","Non-EU/EEA Bachelor's or Master's applicants selected on academic merit.","January 22","exact","2026-01-22","2026","","false","https://www.helsinki.fi/en/studying/fees-and-financial-support/scholarships","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-28","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"29","aalto-university-scholarships","Aalto University Scholarships","scholarship","","Finland","","Master","Partial or full tuition waiver.","Non-EU/EEA students with a strong academic background admitted to an Aalto Master's program.","January 11","exact","2026-01-11","2026","","false","https://into.aalto.fi/display/enmaster/Scholarships+and+financial+aid","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-29","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"30","finnish-government-scholarship-pool","Finnish Government Scholarship Pool","scholarship","","Finland","","PhD; Research","€1,500/month plus travel and insurance.","PhD-level researchers undertaking research visits of three to nine months.","September 30","exact","2026-09-30","2026","","false","https://www.oph.fi/en/funding-and-grants/scholarships-and-grants/finnish-government-scholarship-pool","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-30","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"31","oead-scholarships","OeAD Scholarships","scholarship","","Austria","","Master; PhD; Research","€1,050–1,250/month plus health insurance.","University graduates seeking research stays or postgraduate programs in Austria.","March 1 and September 1","exact","2026-03-01; 2026-09-01","2026","","false","https://oead.at/en/to-austria/grants-and-fellowships/","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-31","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"32","university-of-vienna-merit-scholarship","University of Vienna Merit Scholarship","scholarship","","Austria","","Bachelor; Master","Up to €7,267 per year.","Non-EU students with excellent academic performance.","June 30 for winter semester","exact","2026-06-30","2026","","false","https://international.univie.ac.at/studying-at-univie/scholarships/","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-32","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"33","swiss-government-excellence-scholarships","Swiss Government Excellence Scholarships","scholarship","","Switzerland","","PhD; Postdoc; Research","CHF 1,920/month, CHF 300 accommodation support, and health insurance.","Postgraduate and research applicants; awards are handled through Swiss embassies.","End of October/November; varies by country","estimated","2026-11-30","2026","","false","https://www.sbfi.admin.ch/sbfi/en/home/education/scholarships-and-grants/swiss-government-excellence-scholarships.html","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-33","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines."
"34","eth-zurich-excellence-scholarship","ETH Zurich Excellence Scholarship","scholarship","","Switzerland","","Master","Full tuition plus CHF 12,000 per semester for living costs.","Outstanding international Master's students; merit-based.","December 15","exact","2026-12-15","2026","","false","https://ethz.ch/en/studies/financial/scholarships/excellencescholarship.html","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-34","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"35","epfl-excellence-fellowships","EPFL Excellence Fellowships","scholarship","","Switzerland","","Master; PhD","Full tuition plus CHF 16,000 per semester, as stated in the guide.","Top international students admitted to EPFL with a strong academic or research background.","Program-specific (January–February)","estimated","2026-02-28","2026","","false","https://www.epfl.ch/education/master/master-excellence-fellowships/","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-35","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines."
"36","italian-government-scholarships-farnesina","Italian Government Scholarships (Farnesina)","scholarship","","Italy","","Master; PhD; Research","€700–900/month plus tuition waiver.","International students; applications are generally administered through Italian diplomatic channels.","Typically March–May; varies by country","estimated","2026-05-31","2026","","false","https://www.esteri.it/en/opportunita/borse-di-studio/per-stranieri/","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-36","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines."
"37","university-of-bologna-unibo-action-2-scholarship","University of Bologna UNIBO Action 2 Scholarship","scholarship","","Italy","","Bachelor; Master","€11,059 per year plus tuition waiver.","Non-EU international students selected on merit.","April–June","estimated","2026-06-30","2026","","false","https://www.unibo.it/en/teaching/enrolment/enrolment-and-admission-procedures/scholarships-for-international-students","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-37","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines."
"38","politecnico-di-milano-international-fellowships","Politecnico di Milano International Fellowships","scholarship","","Italy","","Master","€8,000–11,000 per year.","International Master's students in engineering, design, or architecture.","February–March","estimated","2026-03-31","2026","","false","https://www.polimi.it/en/programmes/masters-of-science/scholarships/","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-38","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines."
"39","becas-espana-scholarships-maec-aecid","Becas España Scholarships (MAEC-AECID)","scholarship","","Spain","","Master; PhD; Research","Accommodation plus monthly stipend.","Graduate students and researchers from developing countries.","January–March","estimated","2026-03-31","2026","","false","https://www.aecid.es/en/becas-y-convocatorias","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-39","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines."
"40","la-caixa-fellowship-programme","La Caixa Fellowship Programme","scholarship","","Spain; Portugal","","Master; PhD","Full tuition, €16,000 per year, and relocation support.","Excellent graduates in STEM and social sciences for European and US universities.","February","estimated","2026-02-28","2026","","false","https://fundacionlacaixa.org/en/scholarships-postgraduate-studies-abroad","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-40","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines.; Legacy geography ""Spain / Portugal"" was split into countries Spain and Portugal."
"41","vlir-uos-scholarships","VLIR-UOS Scholarships","scholarship","","Belgium","","Master","Full funding: tuition, €900/month, and travel.","Students from developing countries applying to eligible Master's programs at Flemish universities.","February 1","exact","2026-02-01","2026","","false","https://www.vliruos.be/en/scholarships/6","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-41","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"42","ku-leuven-scholarships","KU Leuven Scholarships","scholarship","","Belgium","","Master","Partial or full tuition waivers.","International Master's applicants assessed on merit and financial need.","March 1","exact","2026-03-01","2026","","false","https://www.kuleuven.be/english/admissions/scholarships","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-42","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"43","czech-government-scholarships","Czech Government Scholarships","scholarship","","Czech Republic","","Master; PhD","Full scholarship: tuition plus CZK 14,000–15,000/month.","Nationals of eligible developing countries applying to Master's or PhD programs.","August 31","exact","2026-08-31","2026","","false","https://www.dzs.cz/en/information-for-foreigners/czech-government-scholarships/","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-43","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"44","polish-government-scholarships-nawa","Polish Government Scholarships (NAWA)","scholarship","","Poland","","Master; PhD","PLN 1,250–3,000/month plus tuition waiver.","International Master's and PhD students applying through the NAWA portal.","March–April","estimated","2026-04-30","2026","","false","https://nawa.gov.pl/en/students/incoming-students/nawa-scholarship-programme","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-44","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines."
"45","fct-scholarships","FCT Scholarships","scholarship","","Portugal","","PhD; Postdoc; Research","€1,074/month plus tuition waiver.","PhD students and postdoctoral researchers in STEM and humanities.","Rolling / annual call","rolling","","","","true","https://www.fct.pt/en/financiamento/bolsas/","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-45","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is rolling; no fixed deadline date was present."
"46","university-of-lisbon-scholarships","University of Lisbon Scholarships","scholarship","","Portugal","","Master; PhD","Partial tuition waiver.","International Master's and PhD students selected on academic merit.","July–September","estimated","2026-09-30","2026","","false","https://www.ulisboa.pt/en/info/scholarships","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-46","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines."
"47","erasmus-mundus-joint-master-degrees-emjmd","Erasmus Mundus Joint Master Degrees (EMJMD)","scholarship","","","European Union","Master","Full scholarship: €1,000–1,400/month, tuition, and travel allowance.","Bachelor's degree holders worldwide; program-specific requirements apply.","January–February for most programs","estimated","2026-02-28","2026","","false","https://www.eacea.ec.europa.eu/scholarships/erasmus-mundus-catalogue_en","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-47","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines.; Legacy geography ""EU-wide"" was normalized to the European Union region; no country was inferred."
"48","marie-sklodowska-curie-doctoral-networks-msca","Marie Skłodowska-Curie Doctoral Networks (MSCA)","scholarship","","","European Union","PhD","Salary of approximately €3,400+ gross per month, mobility allowance, and possible family allowance.","Doctoral candidates meeting the consortium and mobility rules.","Varies by consortium call","unknown","","","","false","https://marie-sklodowska-curie-actions.ec.europa.eu/actions/doctoral-networks","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-48","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is unknown; no deadline date was present.; Legacy geography ""EU-wide"" was normalized to the European Union region; no country was inferred."
"49","erc-starting-grant","ERC Starting Grant","scholarship","","","European Union","Research","Up to €1.5 million over five years.","Researchers two to seven years after PhD, hosted by an eligible EU institution.","Open call – annual","unknown","","","","false","https://erc.europa.eu/apply-grant/starting-grant","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-49","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is unknown; no deadline date was present.; Legacy geography ""EU-wide"" was normalized to the European Union region; no country was inferred."
"50","horizon-europe-research-grants","Horizon Europe Research Grants","scholarship","","","European Union","Research","Project-based full funding.","Researchers and academic teams affiliated with eligible EU or associated-country institutions.","Multiple annual calls","unknown","","","","false","https://research-and-innovation.ec.europa.eu/funding/funding-opportunities/funding-programmes-and-open-calls/horizon-europe_en","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-50","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is unknown; no deadline date was present.; Legacy geography ""EU-wide"" was normalized to the European Union region; no country was inferred."
"51","eunice-alliance-scholarships","EUNICE Alliance Scholarships","scholarship","","","European Union","Exchange; Bachelor; Master","Mobility grant plus reduced or waived tuition.","Students at EUNICE partner universities participating in exchange semesters.","February–April","estimated","2026-04-30","2026","","false","https://eunice-university.eu/education/scholarship/","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-51","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines.; Legacy geography ""EU-wide"" was normalized to the European Union region; no country was inferred."
"52","central-european-university-scholarships","Central European University Scholarships","scholarship","","Austria; Hungary","","Master; PhD","Full scholarship: tuition, €8,400/year stipend, and housing support.","Master's and PhD applicants with strong academics and commitment to open society.","January–February","estimated","2026-02-28","2026","","false","https://www.ceu.edu/admission/graduate/financialaid","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-52","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines.; Legacy geography ""Austria / Hungary"" was split into countries Austria and Hungary."
"53","imprs-max-planck-phd-fellowships","IMPRS (Max Planck) PhD Fellowships","scholarship","","Germany","European Union","PhD","Fully funded salary under a TVöD contract plus research budget.","Top PhD applicants worldwide in natural, social, and life sciences.","Rolling / program-specific","rolling","","","","true","https://www.mpg.de/phd","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-53","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is rolling; no fixed deadline date was present.; Legacy geography ""Germany / EU"" was normalized to country Germany and the European Union region."
"54","jacobs-university-bremen-merit-scholarships","Jacobs University Bremen Merit Scholarships","scholarship","","Germany","","Bachelor; Master","Up to 100% tuition reduction.","Outstanding international students at Bachelor's or Master's level.","May 1","exact","2026-05-01","2026","","false","https://www.jacobs-university.de/study/financial-support/scholarships","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-54","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred."
"55","eit-digital-master-school-scholarships","EIT Digital Master School Scholarships","scholarship","","","European Union","Master","€2,500–5,000 per year partial scholarship.","Students admitted to an EIT Digital Master's program in technology and innovation.","February","estimated","2026-02-28","2026","","false","https://masterschool.eitdigital.eu/scholarships","legacy-prototype","ScholarTrack_Europe/data.js#legacy-id-55","not-reverified","","Provider name was not structured in the legacy dataset; no provider was inferred.; The legacy deadline precision is estimated; retained dates are estimates, not reverified exact deadlines.; Legacy geography ""EU-wide"" was normalized to the European Union region; no country was inferred."
